ARBITRATION 2018,,,by club,,,,,Clubs win             10 of 22 hearings.,Players win         12 of 22 hearings.,
Player,Season,Club,Pos'n,MLS,2017 WARP,Career WARP,2017 Salary,Club         Offer,Player Request,2018 Salary
Super 2 Cutoff,2018,MLB,,2.123,,,,,,
"Corbin, Patrick",2018,ARI,lhp-s,5.105,2.0,4.7,"$3,950,000 ",,,"$7,500,000 "
"Pollock, A.J.",2018,ARI,cf,5.052,2.9,12.4,"$6,750,000 ",,,"$7,750,000 "
"Lamb, Jake",2018,ARI,3b,3.053,3.4,9.0,"$573,300 ",,,"$4,275,000 "
"Miller, Shelby",2018,ARI,rhp-s,4.166,-0.2,2.4,"$4,700,000 ","$4,700,000 ","$4,900,000 ","$4,900,000 "
"Walker, Taijuan",2018,ARI,rhp-s,3.142,2.5,7.0,"$2,250,000 ",,,"$4,825,000 "
"Ray, Robbie",2018,ARI,lhp-s,3.007,3.5,5.7,"$570,400 ",,,"$3,950,000 "
"Owings, Chris",2018,ARI,ss,4.027,2.1,1.5,"$2,300,000 ",,,"$3,400,000 "
"Peralta, David",2018,ARI,rf,3.120,3.7,9.6,"$572,200 ",,,"$3,300,000 "
"Hoover, J.J.",2018,ARI,rhp,4.133,-0.1,1.9,"$900,000 ",non-tendered,,n/a
"Delgado, Randall",2018,ARI,rhp,5.100,0.7,1.7,"$1,775,000 ",,,"$2,250,000 "
"Boxberger, Brad",2018,ARI,rhp,4.109,0.6,3.9,"$1,600,000 ",,,"$1,850,000 "
"Herrmann, Chris",2018,ARI,c,4.001,-0.5,-1.8,"$937,500 ",,,"$1,300,000 "
"Ahmed, Nick",2018,ARI,ss,3.054,0.5,2.6,"$566,000 ",,,"$1,275,000 "
"Chafin, Andrew",2018,ARI,lhp,3.020,0.9,2.4,"$559,300 ",,,"$1,195,000 "
"McFarland, T.J.",2018,ARI,rhp,3.164,0.5,1.1,"$685,000 ",,,"$850,000 "
"Adams, Matt",2018,ATL,1b,5.033,1.3,5.0,"$2,800,000 ",non-tendered,,"$4,000,000 "
"Vizcaino, Arodys",2018,ATL,rhp,4.168,1.0,2.7,"$1,550,000 ",,,"$3,400,000 "
"Foltynewicz, Mike",2018,ATL,rhp-s,2.163,-0.4,0.0,"$544,000 ","$2,200,000 ","$2,300,000 ","$2,200,000 "
"Freeman, Sam",2018,ATL,lhp,3.066,0.4,0.8,"$550,000 ",,,"$1,075,000 "
"Peterson, Jace",2018,ATL,2b-3b,3.003,0.1,2.5,"$555,000 ",non-tendered,,n/a
"Winkler, Daniel",2018,ATL,rhp,3.000,0.2,0.4,"$545,000 ",,,"$610,000 "
"Santana, Danny",2018,ATL,of,3.111,0.0,1.0,"$545,000 ",non-tendered,,n/a
"Machado, Manny",2018,BAL,3b,5.056,1.3,23.2,"$11,500,000 ",,,"$16,000,000 "
"Britton, Zach",2018,BAL,lhp-c,5.158,0.1,7.7,"$11,500,000 ",,,"$12,000,000 "
"Schoop, Jonathan",2018,BAL,2b-3b,4.027,4.7,6.1,"$3,475,000 ","$7,500,000 ","$9,000,000 ","$8,500,000 "
"Gausman, Kevin",2018,BAL,rhp-s,3.151,2.1,9.6,"$3,450,000 ","$5,300,000 ","$6,225,000 ","$5,600,000 "
"Brach, Brad",2018,BAL,rhp,5.063,1.4,7.7,"$3,050,000 ",,,"$5,165,000 "
"Beckham, Tim",2018,BAL,2b,3.134,2.9,3.6,"$885,000 ",,,"$3,350,000 "
"Joseph, Caleb",2018,BAL,c,3.145,2.1,5.8,"$700,000 ",,,"$1,250,000 "
"Betts, Mookie",2018,BOS,rf,3.070,5.5,20.4,"$950,000 ","$7,500,000 ","$10,500,000 ","$10,500,000 "
"Pomeranz, Drew",2018,BOS,lhp-s,5.013,3.3,7.8,"$4,450,000 ",,,"$8,500,000 "
"Bogaerts, Xander",2018,BOS,ss,4.042,2.3,9.8,"$4,500,000 ",,,"$7,050,000 "
"Bradley Jr., Jackie",2018,BOS,rf,3.150,1.2,8.0,"$3,600,000 ",,,"$6,100,000 "
"Kelly, Joe",2018,BOS,rhp,5.029,0.4,2.7,"$2,800,000 ",,,"$3,825,000 "
"Rodriguez, Eduardo",2018,BOS,lhp-s,2.130,3.0,5.6,"$584,500 ",,,"$2,375,000 "
"Leon, Sandy",2018,BOS,c,3.149,0.2,0.9,"$1,300,000 ",,,"$1,950,000 "
"Holt, Brock",2018,BOS,3b-rf,4.052,-0.2,4.2,"$1,950,000 ",,,"$2,225,000 "
"Vazquez, Christian",2018,BOS,c,3.031,1.8,3.7,"$561,000 ",,,"$1,425,000 "
"Smith, Carson",2018,BOS,rhp,3.028,0.0,2.3,"$556,750 ",,,"$850,000 "
"Workman, Brandon",2018,BOS,rhp,3.115,0.4,0.2,"$550,000 ",,,"$835,000 "
"Wright, Steven",2018,BOS,rhp-s,3.089,-0.8,3.2,"$593,500 ",,,"$1,100,000 "
