ARBITRATION 2020,, ,by club,,,,"20 players, clubs exchanged salary figures. 5 player victories, 7 club victories",,,,
Player ,Season,Club,Pos'n,MLS,2019 WARP,Career WARP,2019 Salary,Player Request,Club                 Offer,2020 Salary,.
Super 2 Cutoff,2020,MLB,,2.115,,,,,,,
"La Stella, Tommy",2020,ANA,2b-3b,5.057,1.5,2.7,"$1,350,000 ",,,"$3,250,000 ",
"Bedrosian, Cam",2020,ANA,rhp,4.153,1.3,4.0,"$1,750,000 ",,,"$2,800,000 ",
"Heaney, Andrew",2020,ANA,lhp-s,4.150,0.5,5.3,"$3,400,000 ",,,"$4,300,000 ",
"Robles, Hansel",2020,ANA,rhp,4.119,1.3,2.7,"$1,400,000 ",,,"$3,850,000 ",
"Stassi, Max",2020,ANA,c,3.049,-0.3,2.3,"$590,100 ",,,"$800,000 ",
"Smith, Kevan",2020,ANA,c,3.031,0.5,1.6,"$572,500 ",,,non-tendered,
"Goodwin, Brian",2020,ANA,of,3.019,1.2,1.6,"$583,500 ","$2,200,000 ","$1,850,000 ","$2,200,000 ",
"Middleton, Kenyan",2020,ANA,rhp,2.150,0.0,0.8,"$563,500 ",,,"$800,000 ",
"Ramirez, Noe",2020,ANA,rhp,2.139,1.1,2.0,"$569,000 ",,,"$900,000 ",
"Bundy, Dylan",2020,ANA,rhp-s,4.026,1.6,2.3,"$2,800,000 ",,,"$5,000,000 ",
"Walker, Taijuan",2020,ARI,rhp-s,5.142,-,4.6,"$5,025,000 ",,,non-tendered,
"Peralta, David",2020,ARI,lf,5.120,0.7,9.0,"$7,000,000 ",,,3 y/$22 extn,
"Souza, Steven",2020,ARI,rf,5.072,-,1.9,"$4,125,000 ",,,non-tendered,
"Ahmed, Nick",2020,ARI,ss,5.054,3.3,10.3,"$3,662,500 ","$6,950,000 ","$6,600,000 ",4 / $32.5 extn,
"Lamb, Jake",2020,ARI,1b,5.053,0.5,7.3,"$4,825,000 ",,,"$5,510,000 ",
"Chafin, Andrew",2020,ARI,lhp,5.020,0.8,2.0,"$1,945,000 ",,,"$3,045,000 ",
"Joseph, Caleb",2020,ARI,c,5.020,0.0,9.0,"$1,100,000 ",,,non-tendered,
"Ray, Robbie",2020,ARI,lhp-s,5.007,3.2,11.6,"$6,050,000 ",,,"$9,430,000 ",
"Bradley, Archie",2020,ARI,rhp,4.112,0.6,1.3,"$1,830,000 ","$4,100,000 ","$3,625,000 ","$4,100,000 ",
"Andriese, Matt",2020,ARI,rhp-s,4.071,1.3,5.7,"$920,000 ",,,"$1,390,000 ",
"Almonte, Abraham",2020,ARI,of,4.017,0.3,0.6,,,,outrighted,
"Greene, Shane",2020,ATL,rhp,5.075,1.1,2.5,"$4,000,000 ","$6,750,000 ","$6,250,000 ","$6,250,000 ",
"Foltynewicz, Mike",2020,ATL,rhp-s,4.134,1.8,6.1,"$5,475,000 ",,,"$6,425,000 ",
"Culberson, Charlie",2020,ATL,inf,4.084,0.0,0.1,"$1,395,000 ",,,non-tendered,
"Duvall, Adam",2020,ATL,lf,3.151,0.4,5.6,,,,"$3,250,000 ",
"Murphy, John Ryan",2020,ATL,c,3.122,0.1,2.0,"$900,000 ",,,non-tendered,
"Swanson, Dansby",2020,ATL,ss,3.047,2.7,5.7,"$585,000 ",,,"$3,150,000 ",
"Jackson, Luke",2020,ATL,rhp,3.019,1.7,0.8,"$585,000 ",,,"$1,825,000 ",
"Dayton, Grant",2020,ATL,lhp,3.007,0.2,0.7,"$585,000 ",,,"$655,000 ",
"Camargo, Johan",2020,ATL,2b,2.136,0.4,2.8,"$575,000 ",,,"$1,700,000 ",
"Givens, Mychal",2020,BAL,rhp,4.069,1.5,4.6,"$2,125,000 ",,,"$3,225,000 ",
"Alberto, Hanser",2020,BAL,ss,3.085,1.9,2.0,"$578,000 ",,,"$1,650,000 ",
"Castro, Miguel",2020,BAL,rhp,3.079,1.1,-0.6,"$569,000 ",,,"$1,050,000 ",
"Bleier, Richard",2020,BAL,lhp,3.074,0.1,-0.1,"$572,500 ",,,"$915,000 ",
"Mancini, Trey",2020,BAL,1b-of,3.015,3.2,6.3,"$575,500 ",,,"$4,750,000 ",
"Bradley Jr., Jackie",2020,BOS,cf,5.150,1.1,11.4,"$8,550,000 ",,,"$11,000,000 ",
"Betts, Mookie",2020,BOS,rf,5.070,5.6,35.7,"$20,000,000 ",,,"$27,000,000 ",
"Workman, Brandon",2020,BOS,rhp,5.051,1.9,1.9,"$1,150,000 ",,,"$3,500,000 ",
"Rodriguez, Eduardo",2020,BOS,lhp-s,4.130,2.8,7.0,"$4,300,000 ","$8,975,000 ","$8,300,000 ","$8,300,000 ",
"Barnes, Matt",2020,BOS,rhp,4.110,1.8,5.3,"$1,600,000 ",,,"$3,100,000 ",
"Hembree, Heath",2020,BOS,rhp,4.106,-0.5,1.1,"$1,312,500 ",,,"$1,612,500 ",
"Osich, Josh",2020,BOS,lhp,3.118,0.6,0.4,,,,non-tendered,
"Benintendi, Andrew",2020,BOS,lf,3.062,1.3,7.7,"$717,500 ","$4,150,000 ","$3,400,000 ",2 / $10 extn,
"Hernandez, Marco",2020,BOS,ss,3.058,-0.3,-0.2,"$564,000 ",,,non-tendered,
"Colome, Alex",2020,CHA,rhp,5.118,0.9,5.2,"$7,325,000 ",,,"$10,532,500 ",
"McCann, James",2020,CHA,c,5.028,1.8,1.5,"$2,500,000 ",,,"$5,400,000 ",
"Garcia, Leury",2020,CHA,cf-2b,5.025,1.1,1.2,"$1,550,000 ",,,"$3,250,000 ",
"Rodon, Carlos",2020,CHA,lhp-s,4.168,0.6,-0.8,"$4,200,000 ",,,"$4,450,000 ",
