,Player,Team,Service,Player  Amt.,Team Amt.,Midpoint,Settled Amt.
0,A.J. Ellis,Dodgers,4.151,,,,$4.250MM
1,Aaron Crow,Marlins,4,,,,$1.975MM
2,Adam Ottavino,Rockies,3.087,$1.475MM,$1.000MM,$1.238MM,$1.300MM
3,Addison Reed,Diamondbacks,3.027,$5.600MM,$4.700MM,$5.150MM,$4.875MM
4,Al Alburquerque,Tigers,3.147,$2.050MM,$1.375MM,$1.712MM,$1.725MM
5,Alejandro de Aza ‡,Orioles,5.139,$5.650MM,$5.000MM,$5.325MM,$5.000MM
6,Alex Presley,Astros,2.162 ⇑,,,,$1.000MM
7,Alex Cobb,Rays,3.061,,,,$4.000MM
8,Alexi Amarista,Padres,3.053,,,,Extension
9,Alfredo Simon,Tigers,5.142,,,,$5.550MM
10,Andrew Cashner,Padres,4.126,,,,$4.050MM
11,Antonio Bastardo,Pirates,5.054,,,,$3.100MM
12,Aroldis Chapman,Reds,4.034,$8.700MM,$6.650MM,$7.675MM,$8.050MM
13,Austin Jackson,Mariners,5,,,,$7.700MM
14,Ben Revere,Phillies,3.149,,,,$4.100MM
15,Bobby Parnell,Mets,5.132,,,,$3.700MM
16,Brandon Moss,Indians,4.16,,,,$6.500MM
17,Brandon Kintzler,Brewers,3.101,,,,$1.075MM
18,Brandon Belt,Giants,3.128,$4.500MM,$3.000MM,$3.750MM,$3.600MM
19,Brandon Crawford,Giants,3.094,$3.950MM,$2.400MM,$3.175MM,$3.175MM
20,Brett Lawrie,Athletics,3.055,,,,$1.925MM
21,Brett Cecil,Blue Jays,4.152,,,,$2.475MM
22,Brian Matusz,Orioles,4.156,,,,$3.200MM
23,Brian Duensing,Twins,5.104,$3.100MM,$2.400MM,$2.750MM,$2.700MM
24,Bryan Shaw,Indians,3.081,,,,$1.550MM
25,Bryce Harper,Nationals,2.159 ⇑,,,,Extension
26,Bud Norris,Orioles,5.068,$10.250MM,$7.500MM,$8.875MM,$8.800MM
27,Carlos Corporan,Astros,3.019,,,,$0.975MM
28,Carlos Carrasco,Indians,3.147,,,,$2.337MM
29,Casey McGehee,Giants,5.028,$5.400MM,$4.000MM,$4.700MM,$4.800MM
30,Casey Fien,Twins,2.143 ⇑,,,,$1.375MM
31,Cesar Ramos,Angels,4.003,,,,$1.312MM
