ARBITRATION 2021,,,by club,,,,"4 player victories, 5 club victories",,,,
Player ,Season,Club,Pos'n,MLS,2020 WARP,Career WARP,2020 Salary,Player Request,Club                 Offer,2021 Salary,.
Super 2 Cutoff,2021,MLB,,2.133,,,,,,,
"Anderson, Justin",2021,ANA,rhp,2.161,0.3,0.5,"$577,000 ",,non-tendered,,
"Andriese, Matt",2021,ANA,rhp-s,5.071,0.5,6.2,"$1,395,000 ",,non-tendered,,
"Bedrosian, Cam",2021,ANA,rhp,5.153,0.2,4.2,"$2,800,000 ",,outrighted-FA,,
"Bundy, Dylan",2021,ANA,rhp-s,5.026,1.5,3.9,"$5,000,000 ",,,"$8,325,000 ",
"Heaney, Andrew",2021,ANA,lhp-s,5.150,0.9,6.2,"$4,300,000 ",,,"$6,750,000 ",
"Mayers, Mike",2021,ANA,rhp,3.020,0.7,0.4,"$573,000 ",,,"$1,200,000 ",
"Middleton, Keynan",2021,ANA,rhp,3.089,-0.1,0.7,"$800,000 ",,non-tendered,,
"Ohtani, Shohei",2021,ANA,rhp-s,3.000,0.0,1.1,"$700,000 ","$3,300,000 ","$2,500,000 ",2 y/$8.5 extn,
"Pena, Felix",2021,ANA,rhp,3.079,0.6,3.4,"$587,500 ",,,"$1,100,000 ",
"Robles, Hansel",2021,ANA,rhp-c,5.119,0.0,2.4,"$3,850,000 ",,non-tendered,,
"Stassi, Max",2021,ANA,c,4.049,0.9,3.6,"$800,000 ",,,"$1,600,000 ",
"Guerra, Junior",2021,ARI,rhp-s,4.155,0.2,3.8,"$2,550,000 ",,released,,
"Kelly, Carson",2021,ARI,c,2.161,0.6,3.5,"$581,700 ",,,"$1,700,000 ",
"Smith, Caleb",2021,ARI,lhp-s,3.078,-0.2,3.0,"$586,500 ",,,"$1,465,000 ",
"Weaver, Luke",2021,ARI,rhp-s,3.112,0.1,4.7,"$597,000 ",,,"$1,950,000 ",
"Camargo, Johan",2021,ATL,2b,3.098,0.1,2.8,"$1,700,000 ",,,"$1,360,000 ",
"Dayton, Grant",2021,ATL,lhp,4.007,0.2,0.9,"$655,000 ",,,"$900,000 ",
"Duvall, Adam",2021,ATL,lf,4.151,0.8,5.9,"$3,250,000 ",,non-tendered,,
"Fried, Max",2021,ATL,lhp-s,2.148,1.5,6.6,"$583,500 ",,,"$3,500,000 ",
"Jackson, Luke",2021,ATL,rhp,4.019,0.4,1.2,"$1,825,000 ",,,"$1,900,000 ",
"Minter, A.J.",2021,ATL,lhp,2.162,0.5,1.8,"$583,500 ",,,"$1,300,000 ",
"Soroka, Mike",2021,ATL,rhp-s,2.146,0.2,5.2,"$583,500 ","$2,800,000 ","$2,100,000 ","$2,800,000 ",
"Swanson, Dansby",2021,ATL,ss,4.047,1.0,6.7,"$3,150,000 ","$6,700,000 ","$6,000,000 ","$6,000,000 ",
"Alberto, Hanser",2021,BAL,2b,4.085,0.2,2.2,"$1,650,000 ",,non-tendered,,
"Armstrong, Shawn",2021,BAL,rhp,3.028,0.3,0.6,"$573,500 ",,,"$825,000 ",
"Mancini, Trey",2021,BAL,1b-of,4.015,dnp,5.9,"$4,750,000 ",,,"$4,750,000 ",
"Nunez, Renato",2021,BAL,1b-dh,2.167,0.0,0.6,"$578,000 ",,released,,
"Sanchez, Yolmer",2021,BAL,2b,5.040,0.0,2.7,,,,"$1,000,000 ",
"Santander, Anthony",2021,BAL,rf,2.162,1.3,3.0,"$572,500 ","$2,475,000 ","$2,100,000 ","$2,100,000 ",
"Severino, Pedro",2021,BAL,c,3.099,0.1,0.1,"$576,000 ",,,"$1,825,000 ",
"Valaika, Pat",2021,BAL,ss,3.079,0.8,1.0,"$573,500 ",,,"$875,000 ",
"Barnes, Matt",2021,BOS,rhp,5.110,0.4,5.7,"$3,100,000 ",,,"$4,500,000 ",
"Brasier, Ryan",2021,BOS,rhp,3.109,0.4,0.9,"$584,500 ",,,"$1,250,000 ",
"Brice, Austin",2021,BOS,rhp,3.101,0.2,0.5,"$573,500 ",,,"$870,000 ",
"Devers, Rafael",2021,BOS,3b,3.070,-0.4,9.5,"$692,500 ",,,"$4,575,000 ",
"Plawecki, Kevin",2021,BOS,c,4.167,-0.1,4.8,"$900,000 ",,,"$1,600,000 ",
"Rodriguez, Eduardo",2021,BOS,lhp-s,5.130,dnp,7.1,"$8,300,000 ",,,"$8,300,000 ",
"Weber, Ryan",2021,BOS,rhp,2.138,0.3,1.0,"$600,000 ",,outrighted,,
"Engel, Adam",2021,CHA,of,3.058,-0.1,0.7,"$588,000 ",,,"$1,375,000 ",
"Fry, Jace",2021,CHA,lhp,3.005,0.3,2.2,"$590,000 ",,,"$862,500 ",
"Giolito, Lucas",2021,CHA,rhp-s,3.080,1.6,5.0,"$627,000 ",,,"$4,150,000 ",
"Lopez, Reynaldo",2021,CHA,rhp-s,3.091,-0.6,-4.1,"$605,000 ",,,"$2,100,000 ",
"Marshall, Evan",2021,CHA,rhp,4.090,0.7,0.8,"$1,100,000 ",,,"$2,000,000 ",
"Mazara, Nomar",2021,CHA,rf,5.000,-0.3,1.3,"$5,560,000 ",,non-tendered,,
"Rodon, Carlos",2021,CHA,lhp-s,5.168,-0.3,-1.1,"$4,450,000 ",,non-tendered,,
"Almora, Albert",2021,CHN,cf,4.012,0.0,2.8,"$1,575,000 ",,non-tendered,,
"Baez, Javier",2021,CHN,ss,5.089,0.9,11.3,"$10,000,000 ",,,"$11,650,000 ",
"Bryant, Kris",2021,CHN,3b,5.171,0.3,20.1,"$18,600,000 ",,,"$19,500,000 ",
"Contreras, Willson",2021,CHN,c,4.108,1.3,7.6,"$4,500,000 ",,,"$6,650,000 ",
"Davies, Zach",2021,CHN,rhp-s,5.020,1.2,7.4,"$5,250,000 ",,,"$8,630,000 ",
"Happ, Ian",2021,CHN,cf,3.036,0.2,2.5,"$624,000 ","$4,100,000 ","$3,250,000 ","$4,100,000 ",
"Martinez, Jose",2021,CHN,lf-rf,4.002,-0.2,2.5,"$2,425,000 ",,non-tendered,,
"Rea, Colin",2021,CHN,rhp,3.085,-0.1,-0.2,,,,"$702,500 ",
"Ryan, Kyle",2021,CHN,lhp,3.139,-0.1,-0.7,"$975,000 ",,,"$800,000 ",
"Schwarber, Kyle",2021,CHN,lf,5.086,0.3,7.7,"$7,010,000 ",,non-tendered,,
"Tepera, Ryan",2021,CHN,rhp,5.008,0.5,1.2,,,non-tendered,,
"Winkler, Daniel",2021,CHN,rhp,5.063,0.0,1.1,"$750,000 ",,,"$900,000 ",
"Bradley, Archie",2021,CIN,rhp,5.112,0.6,1.8,"$4,100,000 ",,non-tendered,,
"Casali, Curt",2021,CIN,c,4.151,0.5,4.4,"$1,462,500 ",,non-tendered,,
"Castillo, Luis",2021,CIN,rhp-s,3.101,1.9,10.8,"$663,500 ",,,"$4,200,000 ",
"Garrett, Amir",2021,CIN,lhp,3.099,0.3,0.4,"$595,000 ",,,"$1,500,000 ",
"Goodwin, Brian",2021,CIN,of,4.019,1.0,2.1,"$2,200,000 ",,non-tendered,,
