ARBITRATION 2023,,,by club,,,,"6 player victories, 13 club victories",,,   ,
Player ,Season,Club,Pos'n,MLS,2022 WARP,Career WARP,2022 Salary,Player Request,Club                 Offer,2023 Salary,Estimate
Super 2 Cutoff,2023,MLB,,2.128,,,,,,,
"Barría, Jaime",2023,ANA,rhp,3.035,0.5,0.4,"$730,000 ",,,"$1,050,000 ","$1,000,000"
"Canning, Griffin",2023,ANA,rhp,3.075,-,1.2,"$730,000 ",,,"$850,000 ","$950,000"
"Ohtani, Shohei",2023,ANA,rhp-s,5.000,3.5,11.3,"$5,500,000 ",,,"$30,000,000 ",
"Renfroe, Hunter",2023,ANA,rf,5.165,2.6,11.3,"$7,650,000 ","$11,900,000 ","$11,250,000 ","$11,900,000 ","$10,750,000"
"Rengifo, Luis",2023,ANA,2b,3.043,2.4,4.1,,"$2,300,000 ","$2,000,000 ","$2,300,000 ","$2,100,000"
"Sandoval, Patrick",2023,ANA,lhp,2.149,2.0,4.2,"$720,000 ",,,"$2,750,000 ","$2,250,000"
"Toussaint, Touki",2023,ANA,rhp,2.135,0.3,1.9,,,non-tendered,,"$950,000"
"Urshela, Giovanny",2023,ANA,3b,5.127,2.2,8.6,"$6,550,000 ","$10,000,000 ","$8,400,000 ","$8,400,000 ","$8,450,000"
"Wallach, Chad",2023,ANA,c,3.030,0.1,0.4,,,outrighted,,"$815,000"
"Walsh, Jared",2023,ANA,1b-rf,3.010,-0.8,1.4,"$730,000 ",,,"$2,650,000 ","$1,250,000"
"Ward, Taylor",2023,ANA,3b,2.164,3.9,4.7,"$720,000 ",,,"$2,750,000 ","$3,250,000"
"Gallen, Zac",2023,ARI,rhp-s,3.100,4.2,9.6,"$745,600 ",,,"$5,600,000 ","$4,250,000"
"Kelly, Carson",2023,ARI,c,4.161,0.9,6.2,"$3,325,000 ",,,"$4,275,000 ","$4,500,000"
"Lewis, Kyle",2023,ARI,of,2.146,0.1,1.6,"$757,900 ",,,"$1,610,000 ","$1,150,000"
"Luplow, Jordan",2023,ARI,of,4.108,1.3,4.3,"$1,400,000 ",,non-tendered,,"$2,750,000"
"Middleton, Keynan",2023,ARI,rhp,5.023,0.1,0.7,,,outrighted,,"$900,000"
"Moronta, Reyes",2023,ARI,rhp,4.111,0.2,2.6,,,non-tendered,,"$1,900,000"
"Rojas, Josh",2023,ARI,2b,2.152,1.1,1.8,"$730,900 ","$2,900,000 ","$2,575,000 ","$2,575,000 ","$1,500,000"
"Smith, Caleb",2023,ARI,lhp-s,5.077,-0.1,2.6,"$2,000,000 ",,non-tendered,,"$2,500,000"
"Sulser, Cole",2023,ARI,rhp,3.028,0.4,1.7,"$711,000 ",,,"$825,000 ","$1,000,000"
"Walker, Christian",2023,ARI,1b,4.124,4.4,10.4,"$2,600,000 ",,,"$6,500,000 ","$6,250,000"
"Bracho, Silvino",2023,ATL,rhp,3.099,0.0,1.1,,,non-tendered,,"$900,000"
"Fried, Max",2023,ATL,lhp-s,4.148,3.5,11.4,"$6,850,000 ","$15,000,000 ","$13,500,000 ","$13,500,000 ","$12,750,000"
"Heredia, Guillermo",2023,ATL,of,5.112,0.1,4.8,"$1,000,000 ",,non-tendered,,"$1,250,000"
"Jiménez, Joe",2023,ATL,rhp,5.061,1.5,3.8,"$1,790,000 ",,,"$2,765,000 ","$3,000,000"
"Luetge, Lucas",2023,ATL,lhp,4.015,0.6,2.4,"$905,000 ",,,"$1,550,000 ","$1,950,000"
"Matzek, Tyler",2023,ATL,lhp,4.019,0.0,3.0,"$1,400,000 ",,2 y/$3.1M extn,,"$2,250,000"
"Minter, A.J.",2023,ATL,lhp,4.154,1.9,4.9,"$2,200,000 ",,,"$4,287,500 ","$4,500,000"
"Murphy, Sean",2023,ATL,c,3.029,4.0,7.5,"$725,000 ",,6 y/$73M extn,,"$3,900,000"
"Santana, Dennis",2023,ATL,rhp,3.095,0.6,0.8,"$720,000 ",,,"$1,000,000 ","$1,250,000"
"Soroka, Mike",2023,ATL,rhp-s,4.122,-,3.1,"$2,800,000 ",,,"$2,800,000 ","$2,800,000"
"Cave, Jake",2023,BAL,of,3.137,0.3,0.2,"$800,000 ",,,,"$875,000"
"Gallagher, Cam",2023,BAL,c,4.073,0.1,2.5,"$885,000 ",,outrighted,,"$1,150,000"
"Garcia, Aramis",2023,BAL,c,3.036,0.6,0.8,"$700,000 ",,outrighted,,"$1,250,000"
"Hays, Austin",2023,BAL,lf,3.057,2.4,6.1,"$713,000 ",,,"$3,200,000 ","$3,750,000"
"Mateo, Jorge",2023,BAL,rf,3.000,0.9,1.3,"$709,500 ",,,"$2,000,000 ","$1,250,000"
"Mullins, Cedric",2023,BAL,cf,3.078,2.9,8.5,"$716,500 ",,,"$4,100,000 ","$5,000,000"
"Santander, Anthony",2023,BAL,rf,4.162,3.6,6.9,"$3,150,000 ",,,"$7,400,000 ","$7,100,000"
"Tate, Dillon",2023,BAL,rhp,3.048,1.1,2.1,"$711,500 ",,,"$1,500,000 ","$915,000"
"Voth, Austin",2023,BAL,rhp,3.127,0.6,0.8,"$875,000 ","$2,000,000 ","$1,700,000 ","$1,850,000 ","$1,550,000"
"Arroyo, Christian",2023,BOS,3b,4.036,0.6,2.0,"$1,200,000 ",,,"$2,000,000 ","$3,000,000"
"Brasier, Ryan",2023,BOS,rhp,5.109,0.8,2.0,"$1,400,000 ",,,"$2,000,000 ","$2,500,000"
"Chang, Yu-Cheng",2023,BOS,ss,3.007,0.1,0.4,"$705,400 ",,non-tendered,,"$825,000"
"Cordero, Franchy",2023,BOS,cf-rf,4.092,0.1,-0.5,,,non-tendered,,"$1,000,000"
"Devers, Rafael",2023,BOS,3b,5.070,3.7,15.6,"$11,200,000 ",,,"$17,500,000 ","$16,500,000"
"McGuire, Reese",2023,BOS,c,3.027,0.1,2.8,"$722,400 ",,,"$1,225,000 ","$2,050,000"
"Pivetta, Nick",2023,BOS,rhp-s,4.166,1.5,10.4,"$2,650,000 ",,,"$5,350,000 ","$5,250,000"
"Refsnyder, Rob",2023,BOS,2b-of,4.048,0.7,0.7,,,,"$1,200,000 ","$1,250,000"
"Taylor, Josh",2023,BOS,lhp,3.121,-,1.7,"$1,025,000 ",,,"$1,025,000 ","$1,050,000"
"Verdugo, Alex",2023,BOS,of,4.078,1.9,7.3,"$3,550,000 ",,,"$6,300,000 ","$5,500,000"
"Cease, Dylan",2023,CHA,rhp,3.089,4.5,7.7,"$750,000 ",,,"$5,700,000 ","$4,750,000"
"Crick, Kyle",2023,CHA,rhp,5.027,0.2,1.9,"$1,250,000 ",,outrighted,,"$1,500,000"
"Engel, Adam",2023,CHA,of,5.058,-0.6,1.5,"$2,000,000 ",,non-tendered,,"$2,150,000"
"Giolito, Lucas",2023,CHA,rhp-s,5.080,1.1,9.2,"$7,450,000 ",,,"$10,400,000 ","$10,450,000"
"Kopech, Michael",2023,CHA,rhp,3.041,0.8,2.8,"$730,000 ",,,"$2,050,000 ","$1,750,000"
"López, Reynaldo",2023,CHA,rhp-s,5.004,1.3,2.4,"$2,625,000 ",,,"$3,625,000 ","$3,600,000"
"Mendick, Danny",2023,CHA,ss,2.168,0.3,1.2,"$714,000 ",,non-tendered,,"$1,100,000"
"Ruiz, José",2023,CHA,rhp,3.048,0.6,1.0,"$720,000 ",,,"$925,000 ","$1,300,000"
